carId;model;version;price;fuel;year;kms;power;doors;change;color
1447;Polo;VOLKSWAGEN Polo Advance 1.4 TDI 75cv BMT 5p.;9550;Diesel;2016;62292;75;5;Manual;Blanco
1448;307;PEUGEOT 307 Break 2.0 HDi 110 XR Clim 5p.;1950;Diesel;2004;173900;110;5;Manual;Gris / Plata
1449;Astra;OPEL Astra 1.7 CDTi SS 110 CV Selective 5p.;7199;Diesel;2014;106838;110;5;Manual;Blanco
1450;500;FIAT 500 1.2 8v 51kW 69CV Lounge 3p.;8495;Gasolina;2017;61000;69;3;Manual;Blanco
1451;Focus;FORD Focus 1.5 TDCi E6 88kW Business 5p.;10500;Diesel;2016;115959;120;5;Manual;Blanco
1452;EcoSport;FORD EcoSport 1.5 TiVCT 112cv Titanium 5p.;12300;Gasolina;2016;25233;112;5;Manual;Gris / Plata (VB_-73_ Pintura metalizada)
1453;DS 4;DS DS 4 1.6 BlueHDi 88kW 120CV Style 5p.;16500;Diesel;2017;37376;120;5;Manual;Azul (AZUL)
1454;Clase C;MERCEDES-BENZ Clase C C 320 CDI AVANTGARDE 4p.;13900;Diesel;2008;110000;224;4;Automatico;Gris / Plata
1455;MINI;MINI MINI One Cabrio 2p.;16500;Gasolina;2017;35000;102;2;Manual;Azul
1456;Polo;VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;27500;Gasolina;2020;4278;200;5;Automatico;Azul (0A0A Reef Blue Metallic)
1457;Leon;SEAT Leon 1.9 TDI 105cv ECO Style 5p.;6500;Diesel;2010;225000;105;5;Manual;Gris / Plata
1458;Tarraco;SEAT Tarraco 1.5 TSI 110kW 150CV StSp Style 5p.;30200;Gasolina;2019;12500;150;5;Manual;Blanco (0R0R Blanco Oryx)
1459;Clase A;MERCEDES-BENZ Clase A A 45 AMG 4Matic 5p.;36900;Gasolina;2013;79700;360;5;Automatico;Blanco
1460;C-Elysee;CITROEN CElysee BlueHDi 75KW 100CV Shine 4p.;14450;Diesel;2020;10;102;4;Manual;Beige
1461;Serie 3;BMW Serie 3 318d 4p.;17500;Diesel;2016;163000;150;4;Automatico;Blanco
1462;Serie 4;BMW Serie 4 420i 2p.;20990;Gasolina;2015;151347;184;2;Automatico;Gris / Plata
1463;Mokka X;OPEL Mokka X 1.4 T 103kW 4X2 SS 120 Aniversario 5p.;15190;Gasolina;2019;18001;140;5;Manual;Gris / Plata
1464;Clase B;MERCEDES-BENZ Clase B B 200 CDI 5p.;6499;Diesel;2005;165000;140;5;Automatico;Gris / Plata
1465;FR-V;HONDA FR-V 2.2 iCTDi Comfort 5p.;4800;Diesel;2006;144000;140;5;Manual;Azul
1466;Astra;OPEL Astra 1.2T SHL 81kW 110CV GS Line 5p.;17900;Gasolina;2020;10;110;5;Manual;Gris / Plata
1467;Serie 3;BMW Serie 3 325i E90 4p.;8250;Gasolina;2006;100000;218;4;Automatico;Gris / Plata
1468;Laguna;RENAULT Laguna GRAND TOUR PRIVILEGE 1.9DCI 120CV 5p.;2150;Diesel;2004;170000;120;5;Manual;Negro
1469;Clase B;MERCEDES-BENZ Clase B B 200 5p.;31490;Gasolina;2020;30;163;5;Automatico;Negro
1470;Zafira;OPEL Zafira 2.0 Dti 16v Elegance 5p.;2700;Diesel;2004;213756;100;5;Manual;Gris / Plata
1471;Clase E;MERCEDES-BENZ Clase E E 200 4p.;31500;Gasolina;2017;64340;184;4;Automatico;Verde (Verde Calaita)
1472;3008;PEUGEOT 3008 1.5 BlueHDi 96kW SS GT Line EAT8 5p.;30900;Diesel;2020;2;130;5;Automatico;Gris / Plata
1473;Clase A;MERCEDES-BENZ Clase A Sedan A 180 d 4p.;36933;Diesel;2020;0;116;4;Manual;Blanco (Blanco Polar)
1474;XC90;VOLVO XC90 D5 Kinetic 5p.;9350;Diesel;2008;264000;185;5;Manual;Rojo
1475;Clase CLK;MERCEDES-BENZ Clase CLK CLK 270 CDI AVANTGARDE 2p.;7300;Diesel;2004;182000;170;2;Automatico;Azul
1476;A6;AUDI A6 2.4 AVANT 5p.;1000;Gasolina;1999;255000;165;5;Manual;Gris / Plata
1477;Megane;RENAULT Megane Coupecabr. Luxe Priv. 2.0T 16v 165CV 2p.;4495;Gasolina;2006;133333;165;2;Manual;Beige
1478;3008;PEUGEOT 3008 HYbrid4 Limited Edition 5p.;12999;Hibrido;2012;84500;200;5;Automatico;Blanco
1479;Arona;SEAT Arona 1.6 TDI 70kW 95CV Style Ecomotive 5p.;15799;Diesel;2018;54607;95;5;Manual;B4B4 Blanco (sA3lido)
1480;Panda;FIAT Panda 1.2 Lounge 51kW 69CV 5p.;8300;Gasolina;2019;16000;69;5;Manual;Gris / Plata
1481;Clase E;MERCEDES-BENZ Clase E E 220 d 4MATIC 4p.;37600;Diesel;2019;19200;194;4;Automatico;Gris / Plata
1482;Corsa;OPEL Corsa 1.4 Excellence 90 CV 3p.;9990;Gasolina;2016;31910;90;3;Manual;Blanco
1483;X1;BMW X1 sDrive16d 5p.;19449;Diesel;2018;95245;116;5;Manual;300 AlpinweiA? (sA3lido)
1484;Corolla;TOYOTA Corolla 1.8 125H FEEL ECVT 5p.;19500;Hibrido;2020;2000;122;5;Automatico;Blanco
1485;forfour;SMART forfour 1.5 CDI 95CV Passion 5p.;2500;Diesel;2006;260000;95;5;Manual;Rojo
1486;Doblo;FIAT Doblo Panorama Pop N1 1.3 Mjet 66kW 90CV E5;8999;Diesel;2016;80000;90;5;Manual;Blanco
1487;Astra;OPEL Astra 1.7 CDTi 110 CV Sport 5p.;4999;Diesel;2011;240000;110;5;Manual;Azul
1488;Serie 5;BMW Serie 5 530xi 4p.;4000;Gasolina;2006;195000;258;4;Manual;Negro
1489;A4;AUDI A4 Avant 2.0 TDI 150CV S tronic Advanced ed 5p.;23699;Diesel;2016;52644;150;5;Automatico;0E0E Negro Mitos (metalizado)
1490;i40;HYUNDAI i40 1.7 CRDi 115cv BlueDrive 4p.;8500;Diesel;2013;82000;115;4;Manual;Azul
1491;KA;FORD KA 1.2 Titanium 3p.;4990;Gasolina;2010;160000;69;3;Manual;Blanco (BLANCO)
1492;Outlander;MITSUBISHI Outlander 220 DID Motion 4WD 5p.;13900;Diesel;2012;172000;150;5;Manual;Gris / Plata
1493;2008;PEUGEOT 2008 Active 1.6 eHDi 92 5p.;8850;Diesel;2014;140000;92;5;Manual;Blanco (BLANCO BANQUISE)
